Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
27/05/2026 18:09:58;1;-41.0;-41.0;5.5;4.75;0;150.0
27/05/2026 18:09:59;2;-33.0;-40.0;5.25;5.5;0;125.0
27/05/2026 18:10:00;3;-40.0;-33.0;5.25;5.5;0;116.67
27/05/2026 18:10:01;4;-40.0;-33.0;5.25;5.25;0;112.5
27/05/2026 18:10:02;5;-33.0;-40.0;5.0;5.5;0;110.0
27/05/2026 18:10:03;6;-39.0;-39.0;5.0;5.25;0;108.33
27/05/2026 18:10:04;7;-39.0;-40.0;5.0;5.5;0;107.14
27/05/2026 18:10:05;8;-40.0;-40.0;5.25;5.5;0;106.25
27/05/2026 18:10:06;9;-39.0;-40.0;5.25;5.25;0;105.56
27/05/2026 18:10:07;10;-33.0;-33.0;5.25;5.5;0;105.0
