Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
27/05/2026 18:05:42;1;-41.0;-41.0;5.5;5.25;0;50.0
27/05/2026 18:05:43;2;-40.0;-40.0;4.75;5.25;0;50.0
27/05/2026 18:05:44;3;-40.0;-40.0;5.0;5.25;0;50.0
27/05/2026 18:05:45;4;-40.0;-34.0;5.0;5.25;0;50.0
27/05/2026 18:05:46;5;-40.0;-34.0;5.0;5.25;0;40.0
27/05/2026 18:05:47;6;-40.0;-34.0;5.0;5.25;0;30.0
27/05/2026 18:05:48;7;-40.0;-33.0;5.0;5.25;0;0.0
27/05/2026 18:05:49;8;-33.0;-40.0;5.0;5.25;0;16.67
27/05/2026 18:05:50;9;-40.0;-40.0;4.75;5.25;0;25.0
27/05/2026 18:05:51;10;-40.0;-40.0;5.25;5.25;0;30.0
