Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
16/06/2026 16:40:36;1;-54.0;-53.0;5.5;5.5;0;100.0
16/06/2026 16:40:37;2;-52.0;-52.0;5.25;5.5;0;100.0
16/06/2026 16:40:38;3;-53.0;-53.0;5.25;6.0;0;100.0
16/06/2026 16:40:39;4;-74.0;-60.0;0.0;5.5;0;87.5
16/06/2026 16:40:40;5;-74.0;-55.0;0.0;5.25;0;80.0
16/06/2026 16:40:41;6;-74.0;-52.0;0.0;6.0;0;75.0
16/06/2026 16:40:42;7;-52.0;-51.0;6.0;5.25;0;78.57
16/06/2026 16:40:43;8;-51.0;-51.0;5.5;5.0;0;81.25
16/06/2026 16:40:44;9;-52.0;-52.0;5.75;5.75;0;83.33
16/06/2026 16:40:45;10;-55.0;-54.0;5.25;5.5;0;85.0
