Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
27/05/2026 17:42:25;1;-33.0;-34.0;5.0;5.25;0;0
27/05/2026 17:42:28;2;-74.0;-27.0;0.0;5.5;0;0
27/05/2026 17:42:31;3;-27.0;-27.0;5.0;5.5;0;0
27/05/2026 17:42:34;4;-74.0;-27.0;0.0;5.5;0;0
27/05/2026 17:42:37;5;-27.0;-26.0;5.25;5.5;0;0
27/05/2026 17:42:40;6;-74.0;-33.0;0.0;5.0;0;0
27/05/2026 17:42:43;7;-27.0;-27.0;5.0;5.5;0;0
27/05/2026 17:42:46;8;-74.0;-33.0;0.0;5.0;0;0
27/05/2026 17:42:49;9;-32.0;-27.0;5.0;5.5;0;0
27/05/2026 17:42:52;10;-74.0;-28.0;0.0;5.75;0;0
