Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
16/06/2026 15:57:41;1;-65.0;-64.0;5.25;5.25;0;100.0
16/06/2026 15:57:42;2;-62.0;-61.0;5.0;5.5;0;100.0
16/06/2026 15:57:43;3;-63.0;-64.0;4.75;5.25;0;100.0
16/06/2026 15:57:44;4;-65.0;-65.0;5.5;5.25;0;100.0
16/06/2026 15:57:45;5;-63.0;-63.0;6.0;5.5;0;100.0
16/06/2026 15:57:46;6;-65.0;-65.0;5.5;5.75;0;100.0
16/06/2026 15:57:47;7;-61.0;-62.0;5.0;5.25;0;100.0
16/06/2026 15:57:48;8;-64.0;-64.0;5.5;5.5;0;100.0
16/06/2026 15:57:49;9;-63.0;-63.0;4.75;5.25;0;100.0
16/06/2026 15:57:50;10;-65.0;-65.0;5.25;5.75;0;100.0
16/06/2026 15:57:51;11;-61.0;-61.0;5.0;5.25;0;100.0
16/06/2026 15:57:52;12;-63.0;-63.0;4.75;5.25;0;100.0
16/06/2026 15:57:53;13;-61.0;-62.0;5.0;5.0;0;100.0
16/06/2026 15:57:54;14;-59.0;-65.0;5.5;5.0;0;100.0
16/06/2026 15:57:55;15;-64.0;-65.0;5.75;5.5;0;100.0
16/06/2026 15:57:56;16;-67.0;-67.0;5.5;5.5;0;100.0
16/06/2026 15:57:57;17;-66.0;-66.0;5.25;5.75;0;100.0
16/06/2026 15:57:58;18;-70.0;-69.0;4.75;4.75;0;100.0
16/06/2026 15:57:59;19;-68.0;-67.0;5.0;5.25;0;100.0
16/06/2026 15:58:00;20;-68.0;-67.0;5.0;5.75;0;100.0
16/06/2026 15:58:01;21;-67.0;-66.0;5.5;5.5;0;100.0
16/06/2026 15:58:02;22;-68.0;-68.0;5.0;5.0;0;100.0
16/06/2026 15:58:03;23;-68.0;-68.0;5.25;5.0;0;100.0
16/06/2026 15:58:04;24;-69.0;-70.0;5.0;4.75;0;100.0
16/06/2026 15:58:05;25;-69.0;-70.0;5.25;4.75;0;100.0
16/06/2026 15:58:06;26;-69.0;-70.0;4.75;5.0;0;100.0
16/06/2026 15:58:07;27;-70.0;-69.0;4.5;4.75;0;100.0
16/06/2026 15:58:08;28;-75.0;-76.0;3.5;1.25;0;100.0
16/06/2026 15:58:09;29;-70.0;-71.0;5.0;4.25;0;100.0
16/06/2026 15:58:10;30;-67.0;-67.0;5.5;5.25;0;100.0
16/06/2026 15:58:11;31;-66.0;-66.0;5.5;5.5;0;100.0
16/06/2026 15:58:12;32;-68.0;-69.0;5.25;5.0;0;100.0
16/06/2026 15:58:13;33;-68.0;-69.0;5.25;4.75;0;100.0
16/06/2026 15:58:14;34;-70.0;-70.0;5.25;4.5;0;100.0
16/06/2026 15:58:15;35;-69.0;-72.0;5.0;4.25;0;100.0
16/06/2026 15:58:16;36;-60.0;-55.0;5.5;5.5;0;100.0
16/06/2026 15:58:17;37;-65.0;-65.0;5.5;5.0;0;100.0
16/06/2026 15:58:18;38;-65.0;-64.0;5.25;5.25;0;100.0
16/06/2026 15:58:19;39;-65.0;-64.0;5.5;5.25;0;100.0
16/06/2026 15:58:20;40;-64.0;-64.0;5.0;5.25;0;100.0
16/06/2026 15:58:21;41;-64.0;-64.0;5.0;5.25;0;98.78
16/06/2026 15:58:22;42;-74.0;-65.0;0.0;5.5;0;97.62
16/06/2026 15:58:23;43;-74.0;-65.0;0.0;5.5;0;96.51
16/06/2026 15:58:24;44;-74.0;-65.0;0.0;5.75;0;95.45
16/06/2026 15:58:25;45;-74.0;-65.0;0.0;5.75;0;94.44
16/06/2026 15:58:26;46;-74.0;-64.0;0.0;5.0;0;93.48
16/06/2026 15:58:27;47;-74.0;-64.0;0.0;5.0;0;92.55
16/06/2026 15:58:28;48;-74.0;-64.0;0.0;5.75;0;91.67
16/06/2026 15:58:29;49;-74.0;-64.0;0.0;5.75;0;90.82
16/06/2026 15:58:30;50;-63.0;-63.0;4.5;5.25;0;91.0
16/06/2026 15:58:31;51;-63.0;-63.0;5.25;5.25;0;91.18
16/06/2026 15:58:32;52;-63.0;-63.0;4.75;4.75;0;91.35
16/06/2026 15:58:33;53;-62.0;-63.0;5.0;4.25;0;91.51
16/06/2026 15:58:35;54;-65.0;-64.0;5.25;5.25;0;91.67
16/06/2026 15:58:36;55;-66.0;-66.0;5.5;5.75;0;91.82
16/06/2026 15:58:37;56;-66.0;-65.0;5.5;5.75;0;91.96
16/06/2026 15:58:38;57;-68.0;-68.0;5.75;5.25;0;92.11
16/06/2026 15:58:39;58;-69.0;-69.0;5.25;5.0;0;92.24
16/06/2026 15:58:40;59;-66.0;-65.0;5.5;5.5;0;92.37
16/06/2026 15:58:41;60;-68.0;-66.0;5.25;5.5;0;92.5
16/06/2026 15:58:42;61;-68.0;-68.0;5.25;5.75;0;92.62
16/06/2026 15:58:43;62;-68.0;-67.0;5.25;5.5;0;92.74
16/06/2026 15:58:44;63;-67.0;-67.0;5.25;5.5;0;92.86
16/06/2026 15:58:45;64;-68.0;-67.0;5.25;5.5;0;92.97
16/06/2026 15:58:46;65;-68.0;-67.0;5.25;5.5;0;93.08
16/06/2026 15:58:47;66;-68.0;-68.0;5.25;5.25;0;93.18
16/06/2026 15:58:48;67;-69.0;-68.0;4.75;5.25;0;93.28
16/06/2026 15:58:49;68;-69.0;-66.0;4.75;5.5;0;93.38
16/06/2026 15:58:50;69;-60.0;-59.0;5.25;5.75;0;93.48
16/06/2026 15:58:51;70;-57.0;-55.0;5.5;5.5;0;93.57
16/06/2026 15:58:52;71;-59.0;-59.0;5.5;5.5;0;93.66
16/06/2026 15:58:53;72;-61.0;-61.0;5.25;5.5;0;93.75
16/06/2026 15:58:54;73;-61.0;-60.0;5.75;5.0;0;93.84
16/06/2026 15:58:55;74;-60.0;-60.0;5.25;5.5;0;93.92
16/06/2026 15:58:56;75;-60.0;-60.0;5.25;6.0;0;94.0
16/06/2026 15:58:57;76;-59.0;-60.0;5.5;5.75;0;94.08
16/06/2026 15:58:58;77;-61.0;-62.0;5.25;5.75;0;94.16
