Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
16/06/2026 17:12:56;1;-38.0;-33.0;5.0;5.0;0;100.0
16/06/2026 17:12:57;2;-26.0;-23.0;5.75;5.25;0;100.0
16/06/2026 17:12:58;3;-27.0;-27.0;5.0;5.5;0;100.0
16/06/2026 17:12:59;4;-27.0;-27.0;5.0;5.25;0;100.0
16/06/2026 17:13:00;5;-29.0;-29.0;5.25;5.25;0;100.0
16/06/2026 17:13:01;6;-33.0;-45.0;5.25;5.25;0;100.0
16/06/2026 17:13:02;7;-30.0;-31.0;4.75;5.75;0;100.0
16/06/2026 17:13:03;8;-32.0;-31.0;5.25;5.75;0;100.0
16/06/2026 17:13:04;9;-31.0;-33.0;5.5;5.5;0;100.0
16/06/2026 17:13:05;10;-41.0;-45.0;4.75;5.5;0;100.0
16/06/2026 17:13:06;11;-45.0;-44.0;5.25;5.75;0;100.0
16/06/2026 17:13:07;12;-48.0;-49.0;5.0;5.25;0;100.0
16/06/2026 17:13:08;13;-49.0;-49.0;5.0;5.75;0;100.0
16/06/2026 17:13:09;14;-48.0;-48.0;5.0;5.75;0;100.0
16/06/2026 17:13:10;15;-51.0;-50.0;4.75;5.25;0;100.0
16/06/2026 17:13:11;16;-52.0;-50.0;5.5;5.25;0;100.0
16/06/2026 17:13:12;17;-48.0;-49.0;5.25;5.5;0;100.0
16/06/2026 17:13:13;18;-49.0;-48.0;5.0;5.5;0;100.0
16/06/2026 17:13:14;19;-48.0;-48.0;5.0;5.5;0;100.0
16/06/2026 17:13:15;20;-49.0;-49.0;5.0;5.5;0;100.0
16/06/2026 17:13:16;21;-51.0;-51.0;4.5;5.0;0;100.0
16/06/2026 17:13:17;22;-51.0;-50.0;4.75;5.0;0;100.0
16/06/2026 17:13:18;23;-50.0;-50.0;4.75;5.25;0;100.0
16/06/2026 17:13:19;24;-51.0;-50.0;4.75;5.5;0;100.0
16/06/2026 17:13:20;25;-50.0;-50.0;5.25;5.25;0;100.0
16/06/2026 17:13:21;26;-50.0;-50.0;5.0;5.25;0;100.0
16/06/2026 17:13:22;27;-50.0;-50.0;5.25;5.5;0;100.0
16/06/2026 17:13:23;28;-50.0;-50.0;5.0;5.5;0;100.0
16/06/2026 17:13:24;29;-50.0;-49.0;5.0;5.5;0;100.0
16/06/2026 17:13:25;30;-50.0;-50.0;5.0;5.25;0;100.0
16/06/2026 17:13:26;31;-50.0;-50.0;4.75;5.5;0;100.0
16/06/2026 17:13:27;32;-50.0;-50.0;5.0;5.5;0;100.0
16/06/2026 17:13:28;33;-50.0;-50.0;5.0;5.25;0;100.0
16/06/2026 17:13:29;34;-51.0;-49.0;4.75;5.0;0;100.0
16/06/2026 17:13:30;35;-50.0;-50.0;5.25;5.25;0;100.0
16/06/2026 17:13:31;36;-50.0;-50.0;5.0;5.0;0;100.0
16/06/2026 17:13:32;37;-51.0;-51.0;4.5;5.25;0;100.0
16/06/2026 17:13:33;38;-51.0;-51.0;4.5;5.0;0;100.0
16/06/2026 17:13:34;39;-56.0;-47.0;5.0;6.25;0;100.0
16/06/2026 17:13:35;40;-54.0;-54.0;5.25;5.75;0;100.0
