Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
18/06/2026 18:29:28;1;-58.0;-58.0;5.75;5.25;0;100.0
18/06/2026 18:29:29;2;-61.0;-60.0;5.5;6.0;0;100.0
18/06/2026 18:29:30;3;-61.0;-60.0;5.5;6.0;0;100.0
18/06/2026 18:29:31;4;-60.0;-60.0;5.25;6.0;0;100.0
18/06/2026 18:29:32;5;-60.0;-60.0;5.5;5.75;0;100.0
18/06/2026 18:29:33;6;-60.0;-60.0;5.5;6.0;0;100.0
18/06/2026 18:29:34;7;-60.0;-60.0;5.5;5.75;0;100.0
18/06/2026 18:29:35;8;-60.0;-60.0;5.25;6.0;0;100.0
18/06/2026 18:29:36;9;-60.0;-60.0;5.25;6.0;0;100.0
18/06/2026 18:29:37;10;-60.0;-60.0;5.5;6.0;0;100.0
18/06/2026 18:29:38;11;-60.0;-60.0;6.25;6.0;0;100.0
18/06/2026 18:29:39;12;-60.0;-60.0;5.25;5.75;0;100.0
18/06/2026 18:29:40;13;-59.0;-60.0;5.25;6.0;0;100.0
18/06/2026 18:29:41;14;-60.0;-60.0;5.5;6.0;0;100.0
18/06/2026 18:29:42;15;-60.0;-60.0;5.75;6.5;0;100.0
18/06/2026 18:29:43;16;-61.0;-62.0;5.25;5.5;0;100.0
18/06/2026 18:29:44;17;-60.0;-60.0;5.25;6.0;0;100.0
18/06/2026 18:29:45;18;-59.0;-59.0;5.5;5.75;0;100.0
18/06/2026 18:29:46;19;-59.0;-58.0;5.75;6.0;0;100.0
18/06/2026 18:29:47;20;-59.0;-58.0;5.75;5.75;0;100.0
18/06/2026 18:29:48;21;-59.0;-59.0;5.75;5.75;0;100.0
18/06/2026 18:29:49;22;-59.0;-59.0;5.75;6.0;0;100.0
18/06/2026 18:29:50;23;-59.0;-58.0;5.75;6.0;0;100.0
18/06/2026 18:29:51;24;-60.0;-62.0;5.25;5.5;0;100.0
18/06/2026 18:29:53;25;-60.0;-60.0;5.25;6.0;0;100.0
18/06/2026 18:29:54;26;-60.0;-60.0;5.0;6.0;0;100.0
18/06/2026 18:29:55;27;-60.0;-60.0;5.5;5.75;0;100.0
18/06/2026 18:29:56;28;-61.0;-60.0;5.25;5.75;0;100.0
18/06/2026 18:29:57;29;-60.0;-60.0;5.25;5.75;0;100.0
18/06/2026 18:29:58;30;-62.0;-62.0;5.0;5.5;0;100.0
18/06/2026 18:29:59;31;-62.0;-61.0;5.25;6.0;0;100.0
18/06/2026 18:30:00;32;-60.0;-60.0;5.0;5.5;0;100.0
18/06/2026 18:30:01;33;-61.0;-61.0;5.25;5.25;0;100.0
18/06/2026 18:30:02;34;-62.0;-61.0;4.75;5.5;0;100.0
18/06/2026 18:30:03;35;-61.0;-60.0;5.0;5.5;0;100.0
18/06/2026 18:30:04;36;-58.0;-58.0;5.5;5.75;0;100.0
18/06/2026 18:30:05;37;-59.0;-58.0;5.75;5.5;0;100.0
18/06/2026 18:30:06;38;-62.0;-61.0;5.0;5.0;0;100.0
18/06/2026 18:30:07;39;-65.0;-64.0;5.5;6.0;0;100.0
18/06/2026 18:30:08;40;-63.0;-62.0;5.25;5.5;0;100.0
18/06/2026 18:30:09;41;-59.0;-58.0;5.5;6.0;0;100.0
18/06/2026 18:30:10;42;-59.0;-58.0;5.75;6.25;0;100.0
18/06/2026 18:30:11;43;-59.0;-58.0;5.75;6.0;0;100.0
18/06/2026 18:30:12;44;-59.0;-58.0;5.5;6.0;0;100.0
18/06/2026 18:30:13;45;-59.0;-57.0;5.5;5.75;0;100.0
18/06/2026 18:30:14;46;-59.0;-58.0;5.75;6.0;0;100.0
18/06/2026 18:30:15;47;-59.0;-58.0;5.25;6.0;0;100.0
18/06/2026 18:30:16;48;-59.0;-58.0;5.5;5.75;0;100.0
18/06/2026 18:30:17;49;-59.0;-58.0;5.5;5.75;0;100.0
18/06/2026 18:30:18;50;-59.0;-58.0;5.5;6.0;0;100.0
18/06/2026 18:30:19;51;-59.0;-58.0;5.5;6.0;0;100.0
18/06/2026 18:30:20;52;-59.0;-58.0;5.5;6.0;0;100.0
18/06/2026 18:30:21;53;-59.0;-58.0;5.5;6.0;0;100.0
18/06/2026 18:30:22;54;-59.0;-58.0;5.25;6.0;0;100.0
18/06/2026 18:30:23;55;-59.0;-59.0;5.5;5.75;0;100.0
18/06/2026 18:30:24;56;-59.0;-59.0;5.5;6.25;0;100.0
18/06/2026 18:30:25;57;-59.0;-58.0;5.5;6.0;0;100.0
18/06/2026 18:30:26;58;-62.0;-63.0;5.25;5.25;0;100.0
18/06/2026 18:30:27;59;-67.0;-66.0;5.5;6.25;0;100.0
18/06/2026 18:30:28;60;-64.0;-62.0;5.5;5.5;0;100.0
18/06/2026 18:30:29;61;-58.0;-59.0;5.75;7.0;0;100.0
