Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
27/06/2026 15:18:17;1;-48.0;-48.0;4.5;4.75;0;100.0
27/06/2026 15:18:18;2;-47.0;-48.0;5.75;6.25;0;100.0
27/06/2026 15:18:19;3;-47.0;-48.0;5.5;5.75;0;100.0
27/06/2026 15:18:20;4;-47.0;-48.0;5.75;6.0;0;100.0
27/06/2026 15:18:21;5;-47.0;-47.0;5.5;5.5;0;100.0
27/06/2026 15:18:22;6;-47.0;-47.0;5.5;6.0;0;100.0
27/06/2026 15:18:23;7;-47.0;-48.0;5.75;5.75;0;100.0
27/06/2026 15:18:24;8;-47.0;-47.0;5.75;6.25;0;100.0
27/06/2026 15:18:25;9;-47.0;-48.0;5.5;5.75;0;100.0
27/06/2026 15:18:26;10;-44.0;-45.0;5.25;5.5;0;100.0
