Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
17/07/2026 17:33:28;1;-53.0;-54.0;5.75;5.5;0;100.0
17/07/2026 17:33:29;2;-51.0;-51.0;5.5;5.75;0;100.0
17/07/2026 17:33:30;3;-50.0;-51.0;5.0;5.0;0;100.0
17/07/2026 17:33:31;4;-51.0;-51.0;4.75;5.75;0;100.0
17/07/2026 17:33:32;5;-51.0;-51.0;4.75;5.0;0;100.0
17/07/2026 17:33:33;6;-51.0;-51.0;4.75;5.0;0;100.0
17/07/2026 17:33:34;7;-56.0;-50.0;5.0;5.0;0;100.0
17/07/2026 17:33:35;8;-41.0;-45.0;5.0;5.75;0;100.0
17/07/2026 17:33:36;9;-43.0;-45.0;5.75;5.25;0;100.0
17/07/2026 17:33:37;10;-47.0;-48.0;6.0;5.75;0;100.0
