Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL
27/05/2026 17:20:13;1;-34.0;-29.0;5.0;5.75;0;0
27/05/2026 17:20:14;2;-29.0;-29.0;5.0;5.5;0;0
27/05/2026 17:20:15;3;-29.0;-34.0;5.0;5.0;0;0
27/05/2026 17:20:16;4;-34.0;-29.0;4.75;5.25;0;0
27/05/2026 17:20:17;5;-29.0;-29.0;5.0;5.5;0;0
27/05/2026 17:20:18;6;-28.0;-28.0;5.25;5.25;0;0
27/05/2026 17:20:19;7;-27.0;-27.0;4.75;5.75;0;0
27/05/2026 17:20:20;8;-32.0;-27.0;4.75;5.75;0;0
27/05/2026 17:20:21;9;-28.0;-28.0;4.75;5.75;0;0
27/05/2026 17:20:22;10;-28.0;-28.0;5.0;5.75;0;0
