Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
27/06/2026 15:34:35;1;-55.0;-56.0;4.25;6.0;0;100.0
27/06/2026 15:34:36;2;-62.0;-62.0;5.0;5.25;0;100.0
27/06/2026 15:34:37;3;-56.0;-57.0;5.0;5.0;0;100.0
27/06/2026 15:34:38;4;-56.0;-57.0;5.0;5.0;0;100.0
27/06/2026 15:34:39;5;-56.0;-57.0;5.25;4.75;0;100.0
27/06/2026 15:34:40;6;-56.0;-57.0;5.25;5.0;0;100.0
27/06/2026 15:34:41;7;-56.0;-57.0;5.0;5.25;0;100.0
27/06/2026 15:34:42;8;-56.0;-57.0;5.25;5.75;0;100.0
27/06/2026 15:34:43;9;-56.0;-57.0;5.25;5.25;0;100.0
27/06/2026 15:34:44;10;-56.0;-58.0;5.25;5.25;0;100.0
27/06/2026 15:34:45;11;-56.0;-57.0;4.75;5.5;0;100.0
27/06/2026 15:34:46;12;-55.0;-56.0;5.25;5.5;0;100.0
27/06/2026 15:34:47;13;-54.0;-55.0;5.0;5.5;0;100.0
27/06/2026 15:34:48;14;-55.0;-56.0;5.0;5.5;0;100.0
27/06/2026 15:34:49;15;-55.0;-55.0;5.0;5.5;0;100.0
27/06/2026 15:34:50;16;-54.0;-55.0;5.0;5.5;0;100.0
27/06/2026 15:34:51;17;-55.0;-56.0;5.0;5.5;0;100.0
27/06/2026 15:34:52;18;-55.0;-56.0;5.0;5.25;0;100.0
27/06/2026 15:34:53;19;-54.0;-55.0;5.25;5.5;0;100.0
27/06/2026 15:34:54;20;-57.0;-55.0;4.75;5.5;0;100.0
27/06/2026 15:34:55;21;-48.0;-47.0;4.75;6.0;0;100.0
27/06/2026 15:34:56;22;-52.0;-52.0;6.0;5.75;0;100.0
27/06/2026 15:34:57;23;-55.0;-59.0;5.5;5.75;0;100.0
27/06/2026 15:34:58;24;-56.0;-53.0;5.5;6.0;0;100.0
27/06/2026 15:34:59;25;-54.0;-57.0;4.75;5.25;0;100.0
27/06/2026 15:35:00;26;-55.0;-56.0;5.25;5.25;0;100.0
27/06/2026 15:35:01;27;-54.0;-55.0;5.25;5.5;0;100.0
27/06/2026 15:35:02;28;-53.0;-54.0;5.75;5.5;0;100.0
27/06/2026 15:35:03;29;-49.0;-49.0;5.25;5.5;0;100.0
27/06/2026 15:35:04;30;-52.0;-53.0;5.5;6.0;0;100.0
27/06/2026 15:35:05;31;-51.0;-53.0;4.75;6.0;0;100.0
27/06/2026 15:35:06;32;-51.0;-53.0;4.75;6.0;0;98.44
27/06/2026 15:35:07;33;-51.0;-53.0;4.75;6.0;0;96.97
27/06/2026 15:35:08;34;-51.0;-53.0;4.75;6.0;0;95.59
27/06/2026 15:35:09;35;-51.0;-53.0;4.75;6.0;0;94.29
27/06/2026 15:35:10;36;-58.0;-59.0;5.5;5.5;0;94.44
27/06/2026 15:35:11;37;-54.0;-59.0;5.25;5.75;0;94.59
27/06/2026 15:35:12;38;-49.0;-50.0;5.5;5.25;0;94.74
27/06/2026 15:35:13;39;-47.0;-46.0;5.75;5.75;0;94.87
27/06/2026 15:35:14;40;-49.0;-49.0;5.25;5.25;0;95.0
27/06/2026 15:35:15;41;-49.0;-49.0;5.0;5.5;0;95.12
27/06/2026 15:35:16;42;-44.0;-45.0;5.25;5.25;0;95.24
27/06/2026 15:35:17;43;-51.0;-50.0;4.75;5.5;0;95.35
27/06/2026 15:35:18;44;-50.0;-52.0;4.5;5.75;0;95.45
27/06/2026 15:35:19;45;-49.0;-50.0;5.0;5.5;0;95.56
27/06/2026 15:35:20;46;-50.0;-51.0;5.0;5.75;0;95.65
27/06/2026 15:35:21;47;-49.0;-49.0;5.5;5.5;0;95.74
27/06/2026 15:35:22;48;-48.0;-48.0;5.25;6.0;0;95.83
27/06/2026 15:35:23;49;-46.0;-48.0;5.75;5.75;0;95.92
27/06/2026 15:35:24;50;-49.0;-49.0;5.25;5.5;0;96.0
27/06/2026 15:35:25;51;-49.0;-49.0;5.0;5.25;0;96.08
27/06/2026 15:35:26;52;-48.0;-49.0;5.5;5.25;0;96.15
27/06/2026 15:35:27;53;-48.0;-48.0;5.25;5.5;0;96.23
27/06/2026 15:35:28;54;-48.0;-49.0;6.25;5.5;0;96.3
27/06/2026 15:35:29;55;-47.0;-47.0;5.75;5.75;0;96.36
27/06/2026 15:35:30;56;-47.0;-47.0;5.75;6.0;0;96.43
27/06/2026 15:35:31;57;-48.0;-48.0;5.5;5.75;0;96.49
27/06/2026 15:35:32;58;-48.0;-49.0;5.0;5.75;0;96.55
27/06/2026 15:35:33;59;-47.0;-48.0;5.75;5.75;0;96.61
27/06/2026 15:35:34;60;-48.0;-48.0;5.25;5.5;0;96.67
27/06/2026 15:35:35;61;-49.0;-49.0;5.5;5.5;0;96.72
27/06/2026 15:35:36;62;-48.0;-48.0;5.5;5.5;0;96.77
27/06/2026 15:35:37;63;-49.0;-49.0;5.25;5.5;0;96.83
27/06/2026 15:35:38;64;-48.0;-48.0;5.5;5.75;0;96.88
27/06/2026 15:35:39;65;-48.0;-48.0;5.5;5.75;0;96.92
27/06/2026 15:35:40;66;-48.0;-48.0;5.75;6.0;0;96.97
27/06/2026 15:35:41;67;-48.0;-48.0;5.5;5.75;0;97.01
27/06/2026 15:35:42;68;-48.0;-48.0;5.75;5.5;0;97.06
27/06/2026 15:35:43;69;-48.0;-48.0;5.5;5.5;0;97.1
27/06/2026 15:35:44;70;-48.0;-48.0;5.5;5.5;0;97.14
27/06/2026 15:35:45;71;-48.0;-48.0;5.5;5.5;0;97.18
27/06/2026 15:35:46;72;-48.0;-48.0;5.5;5.25;0;97.22
27/06/2026 15:35:47;73;-48.0;-48.0;5.75;5.5;0;97.26
27/06/2026 15:35:48;74;-48.0;-48.0;5.5;5.75;0;97.3
27/06/2026 15:35:49;75;-48.0;-48.0;5.5;5.5;0;97.33
