16/06/2026 15:44:01 ; [0, 0, 0, 26, 2, 38, 0, 1, 0, 0, 0, 1, 0, 173]
16/06/2026 15:44:02 ; [26, 1, 194, 24, 1, 219, 0, 1, 0, 0, 1, 0, 0, 174]
16/06/2026 15:44:03 ; [28, 2, 38, 30, 2, 88, 0, 1, 0, 0, 2, 0, 0, 175]
16/06/2026 15:44:04 ; [30, 2, 63, 32, 2, 63, 0, 1, 0, 0, 3, 0, 0, 176]
16/06/2026 15:44:05 ; [30, 2, 38, 30, 2, 38, 0, 1, 0, 0, 4, 0, 0, 177]
16/06/2026 15:44:06 ; [28, 2, 13, 28, 2, 88, 0, 1, 0, 0, 5, 0, 0, 178]
16/06/2026 15:44:07 ; [28, 2, 63, 28, 1, 69, 0, 1, 144, 0, 6, 0, 12, 179]
16/06/2026 15:44:08 ; [26, 2, 38, 28, 2, 38, 0, 1, 0, 0, 7, 0, 0, 180]
16/06/2026 15:44:09 ; [44, 2, 38, 46, 2, 63, 0, 1, 0, 0, 8, 0, 0, 181]
16/06/2026 15:44:10 ; [44, 2, 38, 46, 2, 13, 0, 1, 0, 0, 9, 0, 0, 182]
16/06/2026 15:44:11 ; [46, 1, 219, 48, 2, 13, 0, 1, 0, 0, 10, 0, 0, 183]
16/06/2026 15:44:12 ; [46, 2, 13, 48, 2, 38, 0, 1, 0, 0, 11, 0, 0, 184]
16/06/2026 15:44:13 ; [44, 2, 38, 46, 2, 63, 0, 1, 0, 0, 12, 0, 0, 185]
16/06/2026 15:44:14 ; [44, 2, 38, 46, 2, 38, 0, 1, 0, 0, 13, 0, 0, 186]
16/06/2026 15:44:15 ; [46, 2, 38, 46, 1, 244, 0, 1, 0, 0, 14, 0, 0, 187]
16/06/2026 15:44:16 ; [46, 2, 13, 46, 2, 88, 0, 1, 0, 0, 15, 0, 0, 188]
16/06/2026 15:44:17 ; [46, 1, 219, 48, 2, 13, 0, 1, 0, 0, 16, 0, 0, 189]
16/06/2026 15:44:18 ; [46, 2, 13, 48, 2, 13, 0, 1, 0, 0, 17, 0, 0, 190]
16/06/2026 15:44:19 ; [44, 2, 38, 46, 2, 63, 0, 1, 0, 0, 18, 0, 0, 191]
16/06/2026 15:44:20 ; [44, 2, 63, 46, 2, 38, 0, 1, 0, 0, 19, 0, 0, 192]
16/06/2026 15:44:21 ; [30, 2, 63, 30, 2, 88, 0, 1, 0, 0, 20, 0, 0, 193]
16/06/2026 15:44:22 ; [30, 2, 63, 32, 2, 63, 0, 1, 0, 0, 21, 0, 0, 194]
16/06/2026 15:44:23 ; [32, 2, 63, 32, 2, 63, 0, 1, 0, 0, 22, 0, 0, 195]
16/06/2026 15:44:24 ; [40, 1, 244, 38, 2, 38, 0, 1, 0, 0, 23, 0, 0, 196]
16/06/2026 15:44:25 ; [38, 1, 244, 40, 2, 38, 0, 1, 0, 0, 24, 0, 0, 197]
16/06/2026 15:44:26 ; [42, 2, 13, 44, 2, 88, 0, 1, 0, 0, 25, 0, 0, 198]
16/06/2026 15:44:27 ; [44, 2, 63, 44, 2, 63, 0, 1, 0, 0, 26, 0, 0, 199]
16/06/2026 15:44:28 ; [44, 2, 13, 46, 2, 63, 0, 1, 0, 0, 27, 0, 0, 200]
16/06/2026 15:44:29 ; [46, 2, 38, 46, 2, 38, 0, 1, 0, 0, 28, 0, 0, 201]
16/06/2026 15:44:30 ; [44, 2, 38, 46, 2, 13, 0, 1, 0, 0, 29, 0, 0, 202]
16/06/2026 15:44:31 ; [44, 1, 244, 46, 1, 219, 0, 1, 0, 0, 30, 0, 0, 203]
16/06/2026 15:44:32 ; [44, 2, 13, 46, 2, 13, 0, 1, 0, 0, 31, 0, 0, 204]
16/06/2026 15:44:33 ; [46, 2, 138, 48, 1, 244, 0, 1, 0, 0, 32, 0, 0, 205]
16/06/2026 15:44:34 ; [46, 2, 38, 48, 1, 244, 0, 1, 0, 0, 33, 0, 0, 206]
16/06/2026 15:44:35 ; [44, 2, 63, 46, 2, 63, 0, 1, 0, 0, 34, 0, 0, 207]
16/06/2026 15:44:36 ; [46, 2, 38, 46, 2, 13, 0, 1, 0, 0, 35, 0, 0, 208]
16/06/2026 15:44:37 ; [46, 2, 63, 46, 2, 13, 0, 1, 0, 0, 36, 0, 0, 209]
16/06/2026 15:44:38 ; [44, 2, 38, 46, 2, 38, 0, 1, 0, 0, 37, 0, 0, 210]
16/06/2026 15:44:39 ; [44, 2, 38, 46, 1, 244, 0, 1, 0, 0, 38, 0, 0, 211]
16/06/2026 15:44:40 ; [44, 2, 63, 46, 2, 38, 0, 1, 0, 0, 39, 0, 0, 212]
16/06/2026 15:44:41 ; [44, 2, 63, 46, 2, 38, 0, 1, 0, 0, 40, 0, 0, 213]
