Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
17/07/2026 17:31:11;1;-47.0;-74.0;4.75;5.25;0;100.0
17/07/2026 17:31:12;2;-49.0;-74.0;5.5;5.5;0;100.0
17/07/2026 17:31:13;3;-49.0;-74.0;5.5;5.25;0;100.0
17/07/2026 17:31:14;4;-49.0;-74.0;5.25;5.75;0;100.0
17/07/2026 17:31:15;5;-49.0;-74.0;5.25;5.5;0;100.0
17/07/2026 17:31:16;6;-49.0;-74.0;5.25;5.5;0;100.0
17/07/2026 17:31:17;7;-54.0;-74.0;5.25;5.0;0;100.0
17/07/2026 17:31:18;8;-54.0;-74.0;4.75;5.25;0;100.0
17/07/2026 17:31:19;9;-48.0;-74.0;5.5;5.5;0;100.0
17/07/2026 17:31:20;10;-48.0;-74.0;5.75;6.0;0;100.0
