Time stamp;Contador;RSSI_DL;RSSI_UL;snr_DL;snr_UL;psr_DL;psr_UL
16/06/2026 14:55:08;1;0;0;0;0;0;0.0
16/06/2026 14:55:09;2;0;0;0;0;0;0.0
16/06/2026 14:55:10;3;0;0;0;0;0;0.0
16/06/2026 14:55:11;4;0;0;0;0;0;0.0
16/06/2026 14:55:12;5;0;0;0;0;0;0.0
16/06/2026 14:55:13;6;0;0;0;0;0;0.0
16/06/2026 14:55:14;7;0;0;0;0;0;0.0
16/06/2026 14:55:15;8;0;0;0;0;0;0.0
16/06/2026 14:55:16;9;0;0;0;0;0;0.0
16/06/2026 14:55:17;10;0;0;0;0;0;0.0
16/06/2026 14:55:18;11;0;0;0;0;0;0.0
16/06/2026 14:55:19;12;0;0;0;0;0;0.0
16/06/2026 14:55:20;13;0;0;0;0;0;0.0
16/06/2026 14:55:21;14;0;0;0;0;0;0.0
16/06/2026 14:55:22;15;0;0;0;0;0;0.0
16/06/2026 14:55:23;16;0;0;0;0;0;0.0
16/06/2026 14:55:24;17;0;0;0;0;0;0.0
16/06/2026 14:55:25;18;0;0;0;0;0;0.0
16/06/2026 14:55:26;19;0;0;0;0;0;0.0
16/06/2026 14:55:27;20;0;0;0;0;0;0.0
16/06/2026 14:55:28;21;0;0;0;0;0;0.0
16/06/2026 14:55:29;22;0;0;0;0;0;0.0
16/06/2026 14:55:30;23;0;0;0;0;0;0.0
16/06/2026 14:55:31;24;0;0;0;0;0;0.0
16/06/2026 14:55:32;25;0;0;0;0;0;0.0
16/06/2026 14:55:33;26;0;0;0;0;0;0.0
16/06/2026 14:55:34;27;0;0;0;0;0;0.0
16/06/2026 14:55:35;28;0;0;0;0;0;0.0
16/06/2026 14:55:36;29;0;0;0;0;0;0.0
16/06/2026 14:55:37;30;0;0;0;0;0;0.0
