23/05/2026 21:02:22 ; [80, 0, 45, 80, 0, 45, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:23 ; [90, 0, 52, 80, 0, 52, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:24 ; [90, 0, 50, 90, 0, 50, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:25 ; [90, 0, 52, 88, 0, 50, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:26 ; [90, 0, 50, 88, 0, 52, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:27 ; [90, 0, 50, 90, 0, 52, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:28 ; [78, 0, 50, 90, 0, 52, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:29 ; [90, 0, 52, 88, 0, 55, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:30 ; [90, 0, 52, 90, 0, 55, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:31 ; [92, 0, 52, 92, 0, 55, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:32 ; [58, 0, 52, 58, 0, 40, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:33 ; [90, 0, 50, 88, 0, 47, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:34 ; [90, 0, 50, 88, 0, 47, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:35 ; [88, 0, 50, 88, 0, 50, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:36 ; [88, 0, 47, 86, 0, 57, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:37 ; [88, 0, 55, 86, 0, 57, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:38 ; [76, 0, 52, 86, 0, 57, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:39 ; [76, 0, 55, 86, 0, 60, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:40 ; [88, 0, 57, 86, 0, 60, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:41 ; [88, 0, 52, 86, 0, 57, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:42 ; [88, 0, 55, 76, 0, 57, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:43 ; [88, 0, 55, 86, 0, 60, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:44 ; [86, 0, 55, 86, 0, 60, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:45 ; [86, 0, 57, 86, 0, 60, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:46 ; [86, 0, 57, 86, 0, 60, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:47 ; [86, 0, 55, 84, 0, 52, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:48 ; [86, 0, 57, 84, 0, 52, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:49 ; [84, 0, 57, 84, 0, 52, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:50 ; [84, 0, 52, 84, 0, 50, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:51 ; [74, 0, 52, 84, 0, 55, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:52 ; [84, 0, 47, 72, 0, 52, 0, 1, 0, 0, 0, 0, 0, 0]
23/05/2026 21:02:53 ; [74, 0, 47, 82, 0, 55, 0, 1, 0, 0, 0, 0, 0, 0]
