Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL
23/05/2026 21:01:54;1;0;0;0;0;1;0
23/05/2026 21:01:55;2;0;0;0;0;2;0
23/05/2026 21:01:56;3;0;0;0;0;3;0
23/05/2026 21:01:57;4;0;0;0;0;4;0
23/05/2026 21:01:58;5;0;0;0;0;5;0
23/05/2026 21:01:59;6;0;0;0;0;6;0
23/05/2026 21:02:00;7;0;0;0;0;7;0
23/05/2026 21:02:01;8;0;0;0;0;8;0
23/05/2026 21:02:02;9;0;0;0;0;9;0
23/05/2026 21:02:03;10;0;0;0;0;10;0
23/05/2026 21:02:04;11;0;0;0;0;11;0
23/05/2026 21:02:06;12;0;0;0;0;12;0
23/05/2026 21:02:07;13;0;0;0;0;13;0
23/05/2026 21:02:08;14;0;0;0;0;14;0
23/05/2026 21:02:09;15;0;0;0;0;15;0
23/05/2026 21:02:10;16;0;0;0;0;16;0
23/05/2026 21:02:11;17;0;0;0;0;17;0
23/05/2026 21:02:12;18;0;0;0;0;18;0
23/05/2026 21:02:13;19;0;0;0;0;19;0
